assembly	name	genus	species	subspecies	species_group	species_subgroup	group	group2	realm1	realm2	region	notes	source
GCA_018150835.1	D.repletoides	Drosophila	repletoides		tumiditarsus		virilis-repleta	virilis-repleta	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018152115.1	D.rhopaloa	Drosophila	rhopaloa		melanogaster	rhopaloa	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035043565.1	D.robusta	Drosophila	robusta		robusta	lacertosa	virilis-repleta	virilis-repleta	Nearctic	Nearctic	Nearctic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035046165.1	D.rubida	Drosophila	rubida		immigrans	hypocausta	immigrans-tripunctata	immigrans-tripunctata	Australasian	Australasian	EastAsia-Oceania		GBIF
GCA_018153105.1	D.rufa	Drosophila	rufa		melanogaster	montium	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018903575.1	D.saltans	Drosophila	saltans		saltans	saltans	saltans	saltans	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCF_016746245.2	D.santomea	Drosophila	santomea						Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_018904445.1	D.sechellia	Drosophila	sechellia		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Afrotropic	Afrotropic	Seychelles	
GCA_035043575.1	D.seclusa	Drosophila	seclusa				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035046125.1	D.serrata	Drosophila	serrata		melanogaster	montium	melanogaster	melanogaster	Australasian	Australasian	EastAsia-Oceania		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_021224005.1	D.setifemur	Drosophila	setifemur						Australasian	Australasian	EastAsia-Oceania		GBIF
GCA_035043505.1	D.setosimentum	Drosophila	setosimentum				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035047445.1	D.siamana	Drosophila	siamana		immigrans	hypocausta	immigrans-tripunctata	immigrans-tripunctata	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_035043445.1	D.silvestris	Drosophila	silvestris		planitibia	planitibia	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_018904415.1	D.simulans.006	Drosophila	simulans		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
sz129	D.simulans.sz129	Drosophila	simulans		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
sz232	D.simulans.sz232	Drosophila	simulans		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
GCA_035043295.1	D.sordidapex	Drosophila	sordidapex				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035047465.1	D.sordidula	Drosophila	sordidula		robusta	robusta	virilis-repleta	virilis-repleta	Palearctic	Palearctic	EastAsia-Oceania	Japan	Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018150735.1	D.sp.14030-0761.01	Drosophila	sp.14030-0761.01		willistoni	willistoni	willistoni	willistoni	Neotropic	Neotropic	Neotropic		https://doi.org/10.1101/2023.10.02.560517
GCA_018901795.1	D.sp.st01m	Drosophila	sp.st01m				immigrans-tripunctata	immigrans-tripunctata					
GCA_018904355.1	D.sproati	Drosophila	sproati		grimshawi	orphnopeza	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035047405.1	D.stalkeri	Drosophila	stalkeri		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018150375.1	D.sturtevanti	Drosophila	sturtevanti		saltans	sturtevanti	saltans	saltans	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018903505.1	D.subobscura	Drosophila	subobscura		obscura	obscura	obscura	obscura	Palearctic	Cosmopolitan	Palearctic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_037043435.1	D.suboccidentalis	Drosophila	suboccidentalis		quinaria		immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018150325.1	D.subpulchrella	Drosophila	subpulchrella		melanogaster	suzukii	suzukii	suzukii	Indo-Malayan	Indo-Malayan	EastAsia-Oceania	Japan/China	GBIF
GCA_037043405.1	D.subquinaria	Drosophila	subquinaria		quinaria		immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		GBIF
GCA_035043285.1	D.subsilvestris	Drosophila	subsilvestris		obscura	obscura	obscura	obscura	Palearctic	Palearctic	Palearctic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018150745.1	D.sucinea	Drosophila	sucinea		willistoni	bocainensis	willistoni	willistoni	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_021223965.1	D.sulfurigaster	Drosophila	sulfurigaster						Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCF_023558435.1	D.sulfurigaster.albostrigata	Drosophila	sulfurigaster	albostrigata					Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_023558465.2	D.sulfurigaster.bilimbata	Drosophila	sulfurigaster	bilimbata					Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_023558475.1	D.sulfurigaster.sulfurigaster	Drosophila	sulfurigaster	sulfurigaster					Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
	D.suzukii	Drosophila	suzukii		suzukii	suzukii	suzukii	suzukii	Indo-Malayan	Cosmopolitan	EastAsia-Oceania	ADDED-16/04/24	
GCA_018152695.1	D.takahashii	Drosophila	takahashii		melanogaster	takahashii	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_008042535.1	D.tani	Drosophila	tani						Palearctic	Palearctic	Palearctic		GBIF
GCA_035043275.1	D.tanythrix	Drosophila	tanythrix		antopocerus	diamphidiopoda	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_018903625.1	D.teissieri.273.3	Drosophila	teissieri		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Afrotropic	Afrotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018903635.1	D.teissieri.CT02	Drosophila	teissieri		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Afrotropic	Afrotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035043265.1	D.testacea	Drosophila	testacea		testacea		immigrans-tripunctata	immigrans-tripunctata	Palearctic	Palearctic	Palearctic	holarctic	GBIF
GCA_018151095.1	D.triauraria	Drosophila	triauraria		melanogaster	montium	melanogaster	melanogaster	Indo-Malayan	Palearctic	EastAsia-Oceania	Japan	Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035043205.1	D.trichaetosa	Drosophila	trichaetosa				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035047385.1	D.tripunctata	Drosophila	tripunctata		tripunctata	tripunctata subgroup IV	immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018150885.1	D.tristis	Drosophila	tristis		obscura	obscura	obscura	obscura	Palearctic	Palearctic	Palearctic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018151085.1	D.tropicalis	Drosophila	tropicalis		willistoni	willistoni	willistoni	willistoni	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_008042515.1	D.truncata	Drosophila	truncata						Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_035078745.1	D.ussurica	Diastata	ussurica				other drosophilids	other drosophilids	Palearctic	Palearctic	Palearctic		GBIF
GCA_035047365.1	D.ustulata	Drosophila	ustulata		immigrans	immigrans	immigrans-tripunctata	immigrans-tripunctata	Palearctic	Palearctic	Palearctic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035047325.1	D.vallismaia	Drosophila	vallismaia		melanogaster	ananassae	melanogaster	melanogaster	Afrotropic	Afrotropic	Afrotropic	Seychelles	Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018150405.1	D.varians	Drosophila	varians		melanogaster	ananassae	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035043025.1	D.villosipedis	Drosophila	villosipedis		grimshawi	orphnopeza	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_018153695.1	D.virilis	Drosophila	virilis		virilis	virilis	virilis-repleta	virilis-repleta	Nearctic	Nearctic	Nearctic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018153465.1	D.willistoni.00	Drosophila	willistoni		willistoni	willistoni	willistoni	willistoni	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018903445.1	D.willistoni.17	Drosophila	willistoni		willistoni	willistoni	willistoni	willistoni	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035046025.1	D.yakuba	Drosophila	yakuba		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Afrotropic	Afrotropic		
GCA_035043035.1	D.yooni	Drosophila	yooni				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035043045.1	H.alboralis	Hirtodrosophila	alboralis		quadrivittata	trivittata	Hirtodrosophila	Hirtodrosophila	Indo-Malayan	Palearctic	EastAsia-Oceania	Japan	GBIF
GCA_949708635.1	H.cameraria	Hirtodrosophila	cameraria						Palearctic	Palearctic	Palearctic		GBIF
GCA_037075125.1	H.caputudis	Hirtodrosophila	caputudis		quadrivittata	quadrivittata	Hirtodrosophila	Hirtodrosophila	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_035043065.1	H.confusa	Hirtodrosophila	confusa		quadrivittata	confusa	Hirtodrosophila	Hirtodrosophila	Palearctic	Palearctic	Palearctic		GBIF
GCA_037043425.1	H.duncani	Hirtodrosophila	duncani				Hirtodrosophila	Hirtodrosophila	Nearctic	Nearctic	Nearctic		GBIF
GCA_035045125.1	H.guttata	Hypselothyrea	guttata				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_037075165.1	H.histrioides	Hirtodrosophila	histrioides				Hirtodrosophila	Hirtodrosophila	Indo-Malayan	Palearctic	EastAsia-Oceania	Japan	GBIF
GCA_035078685.1	H.nokogiri	Hirtodrosophila	nokogiri				Hirtodrosophila	Hirtodrosophila	Indo-Malayan	Palearctic	EastAsia-Oceania	Japan	GBIF
GCA_035045065.1	H.trivittata	Hirtodrosophila	trivittata				Hirtodrosophila	Hirtodrosophila	Palearctic	Palearctic	Palearctic		GBIF
GCA_035045005.1	L.aerea.MT83	Liodrosophila	aerea				other drosophilids	other drosophilids	Indo-Malayan	Palearctic	EastAsia-Oceania	Japan	GBIF
GCA_037043415.1	L.aerea.TM23	Liodrosophila	aerea				other drosophilids	other drosophilids	Indo-Malayan	Palearctic	EastAsia-Oceania	Japan	GBIF
GCA_035044965.1	L.andalusiaca	Lordiphosa	andalusiaca				Lordiphosa	Lordiphosa	Palearctic	Palearctic	Palearctic		GBIF
GCA_018904275.1	L.clarofinis	Lordiphosa	clarofinis				Lordiphosa	Lordiphosa	Indo-Malayan	Palearctic	EastAsia-Oceania	Korea	GBIF
GCA_035044905.1	L.collinella	Lordiphosa	collinella				Lordiphosa	Lordiphosa	Indo-Malayan	Palearctic	EastAsia-Oceania	Japan	GBIF
GCA_035044985.1	L.fenestrarum	Lordiphosa	fenestrarum				Lordiphosa	Lordiphosa	Palearctic	Palearctic	Palearctic	holarctic	GBIF
GCA_035044805.1	L.maculata	Leucophenga	maculata				other drosophilids	other drosophilids	Palearctic	Indo-Malayan	Palearctic		GBIF
GCA_037044535.1	L.magnipectinata	Lordiphosa	magnipectinata				Lordiphosa	Lordiphosa	Indo-Malayan	Palearctic	EastAsia-Oceania	Japan	GBIF
GCA_018904225.1	L.mommai	Lordiphosa	mommai				Lordiphosa	Lordiphosa	Indo-Malayan	Palearctic	EastAsia-Oceania	Japan	GBIF
GCA_035044765.1	L.montana	Leucophenga	montana				other drosophilids	other drosophilids	Nearctic	Nearctic	Nearctic		GBIF
GCA_037075105.1	L.sabroskyi	Lissocephala	sabroskyi				other drosophilids	other drosophilids	Pacific Islands	Pacific Islands	EastAsia-Oceania	Micronesia	GBIF
GCA_018904235.1	L.stackelbergi	Lordiphosa	stackelbergi				Lordiphosa	Lordiphosa	Palearctic	Palearctic	Palearctic		GBIF
GCA_018903435.1	L.varia	Leucophenga	varia				other drosophilids	other drosophilids	Nearctic	Nearctic	Nearctic		
GCA_037075075.1	M.cristata	Microdrosophila	cristata				other drosophilids	other drosophilids	Indo-Malayan	Palearctic	EastAsia-Oceania	Japan	GBIF
GCA_037075045.1	M.parasiatica	Mulgravea	parasiatica				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_037040045.1	P.flavipennis	Phorticella	flavipennis				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_037044515.1	P.magna	Phortica	magna				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_035044725.1	S.caliginosa	Scaptomyza	caliginosa				Scaptomyza	Scaptomyza	Pacific Islands	Pacific Islands	Hawaii	hawaiian	GBIF
GCA_035044605.1	S.cyrtandrae	Scaptomyza	cyrtandrae				Scaptomyza	Scaptomyza	Pacific Islands	Pacific Islands	Hawaii	hawaiian	GBIF
GCA_030179655.1	S.flava	Scaptomyza	flava						Palearctic	Palearctic	Palearctic		GBIF
GCA_018901835.1	S.graminum	Scaptomyza	graminum				Scaptomyza	Scaptomyza	Palearctic	Palearctic	Palearctic	cosmopolitan	GBIF
GCA_018152825.1	S.hsui	Scaptomyza	hsui				Scaptomyza	Scaptomyza	Nearctic	Nearctic	Nearctic		GBIF
GCA_037040025.1	S.javana	Sphaerogastrella	javana				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_037075145.1	S.latifasciaeformis	Scaptodrosophila	latifasciaeformis				Scaptodrosophila	Scaptodrosophila	Afrotropic	Afrotropic	Afrotropic		GBIF
GCF_003285725.1	S.lebanonensis	Scaptodrosophila	lebanonensis						Palearctic	Palearctic	Palearctic		GBIF
GCA_018904305.1	S.montana	Scaptomyza	montana				Scaptomyza	Scaptomyza	Nearctic	Nearctic	Nearctic		GBIF
GCA_037044495.1	S.nigrithorax	Stegana	nigrithorax				other drosophilids	other drosophilids	Palearctic	Palearctic	Palearctic		GBIF
GCA_018152965.1	S.pallida	Scaptomyza	pallida				Scaptomyza	Scaptomyza	Palearctic	Cosmopolitan	Palearctic	Native to PA	GBIF
GCA_035044645.1	S.parva	Scaptomyza	parva				Scaptomyza	Scaptomyza	Pacific Islands	Pacific Islands	Hawaii	hawaiian	GBIF
GCA_035044585.1	S.polygonia	Scaptomyza	polygonia				Scaptomyza	Scaptomyza	Indo-Malayan	Palearctic	EastAsia-Oceania	Japan	GBIF
GCA_035044485.1	S.reducta	Scaptomyza	reducta				Scaptomyza	Scaptomyza	Pacific Islands	Pacific Islands	Hawaii	hawaiian	GBIF
GCA_035078625.1	S.scaptomyzoidea	Scaptodrosophila	scaptomyzoidea				Scaptodrosophila	Scaptodrosophila	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_035044465.1	S.tumidula	Scaptomyza	tumidula				Scaptomyza	Scaptomyza	Pacific Islands	Pacific Islands	Hawaii	hawaiian	GBIF
GCA_018151435.1	Z.africanus	Zaprionus	africanus				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_035046045.1	Z.bogoriensis	Zaprionus	bogoriensis				Zaprionus	Zaprionus	Australasian	Australasian	EastAsia-Oceania		GBIF
GCA_018904165.1	Z.camerounensis	Zaprionus	camerounensis				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_018903675.1	Z.capensis	Zaprionus	capensis				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_018903715.1	Z.davidi	Zaprionus	davidi				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_037040005.1	Z.flavofinira	Zygothrica	flavofinira				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_018903695.1	Z.gabonicus	Zaprionus	gabonicus				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_018904095.1	Z.ghesquierei	Zaprionus	ghesquierei				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_018903395.1	Z.indianus.16GNV01	Zaprionus	indianus				Zaprionus	Zaprionus	Afrotropic	Cosmopolitan	Afrotropic	Native to AT	GBIF
GCA_018904605.1	Z.indianus.BS02	Zaprionus	indianus				Zaprionus	Zaprionus	Afrotropic	Cosmopolitan	Afrotropic	Native to AT	GBIF
GCA_018159335.1	Z.indianus.CDD18	Zaprionus	indianus				Zaprionus	Zaprionus	Afrotropic	Cosmopolitan	Afrotropic	Native to AT	GBIF
GCA_018904595.1	Z.indianus.RCR04	Zaprionus	indianus				Zaprionus	Zaprionus	Afrotropic	Cosmopolitan	Afrotropic	Native to AT	GBIF
GCA_018151445.1	Z.inermis	Zaprionus	inermis				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_018901885.1	Z.kolodkinae	Zaprionus	kolodkinae				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_018901815.1	Z.lachaisei	Zaprionus	lachaisei				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_035044505.1	Z.lineosus	Zaprionus	lineosus				Zaprionus	Zaprionus	Australasian	Australasian	EastAsia-Oceania		GBIF
GCA_018903425.1	Z.nigranus	Zaprionus	nigranus				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		
GCA_037044475.1	Z.obscuricornis	Zaprionus	obscuricornis				Zaprionus	Zaprionus	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_018904035.1	Z.ornatus	Zaprionus	ornatus				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_037044455.1	Z.quintamaculata	Zygothrica	quintamaculata				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_018901805.1	Z.taronus	Zaprionus	taronus				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_018151455.1	Z.tsacasi.car7-4	Zaprionus	tsacasi				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_018904105.1	Z.tsacasi.jd01t	Zaprionus	tsacasi				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF
GCA_018904025.1	Z.vittiger	Zaprionus	vittiger				Zaprionus	Zaprionus	Afrotropic	Afrotropic	Afrotropic		GBIF